CellType,Gene.names,rank,experiment.score,Gene.names_2,CellType_2
ACT_B.memory_,CCR7,0.142075829,0.812,CCL19,ACT_mDC_
ACT_B.memory_,CCR7,0,0.812,CCL19,ACT_pDC_
ACT_B.naive_,CCR7,0.033635466,0.812,CCL19,ACT_mDC_
ACT_B.naive_,CCR7,0,0.812,CCL19,ACT_pDC_
ACT_mDC_,CCL3L1,0.215818466,0.576,CCR5,NOT_mDC_
ACT_mDC_,CCL3L1,0.280576423,0.576,CCR5,NOT_MO.classical_
ACT_mDC_,CCL3L1,0.214601725,0.576,CCR5,NOT_MO.intermediate_
ACT_mDC_,CCL3L1,0.080922384,0.576,CCR5,NOT_mTregs_
ACT_mDC_,CCL3L1,0.233166224,0.576,CCR5,NOT_pDC_
ACT_mDC_,CCL3L1,0.057287709,0.576,CCR5,NOT_T4.EM_
ACT_mDC_,CCL3L1,0.171140899,0.576,CCR5,NOT_T8.CM_
ACT_mDC_,CCL3L1,0.285443673,0.576,CCR5,NOT_T8.EM_
ACT_mDC_,CCL3L1,0.181526221,0.576,CCR5,NOT_T8.EMRA_
ACT_mDC_,CCL19,0.812,0.812,CCR7,ACT_mDC_
ACT_mDC_,CCL19,0.017129326,0.812,CCR7,ACT_NK.bright_
ACT_mDC_,CCL19,0.016007521,0.812,CCR7,ACT_NK.dim_
ACT_mDC_,CCL19,0.415088539,0.812,CCR7,ACT_pDC_
ACT_mDC_,CCL19,0.115972206,0.812,CCR7,ACT_T8.CM_
ACT_mDC_,CCL19,0.123027981,0.812,CCR7,ACT_T8.EM_
ACT_mDC_,CCL19,0.597034854,0.812,CCR7,ACT_T8.naive_
ACT_mDC_,CCL19,0.048904466,0.812,CCR7,NOT_B.memory_
ACT_mDC_,CCL19,0.102516782,0.812,CCR7,NOT_Neutrophil_
ACT_mDC_,CCL19,0.227651765,0.812,CCR7,NOT_NK.bright_
ACT_mDC_,CCL19,0.144918561,0.812,CCR7,NOT_nTregs_
ACT_mDC_,CCL19,0.048702359,0.812,CCR7,NOT_pDC_
ACT_mDC_,CCL19,0.43905685,0.812,CCR7,NOT_T4.CM_
ACT_mDC_,CCL19,0.051753434,0.812,CCR7,NOT_T4.EM_
ACT_mDC_,CCL19,0.453843466,0.812,CCR7,NOT_T4.naive_
ACT_mDC_,CCL19,0.308126451,0.812,CCR7,NOT_T8.CM_
ACT_mDC_,CCL19,0.57103951,0.812,CCR7,NOT_T8.naive_
ACT_mDC_,CCL19,0.472421462,0.812,CCR7,NOT_Th1_
ACT_mDC_,CCL19,0.051909628,0.812,CCR7,NOT_Th2_
ACT_mDC_,CCR7,0,0.812,CCL19,ACT_pDC_
ACT_MO.classical_,CCL3L1,0.422305466,0.576,CCR5,NOT_mDC_
ACT_MO.classical_,CCL3L1,0.549021403,0.576,CCR5,NOT_MO.classical_
ACT_MO.classical_,CCL3L1,0.419924592,0.576,CCR5,NOT_MO.intermediate_
ACT_MO.classical_,CCL3L1,0.158345881,0.576,CCR5,NOT_mTregs_
ACT_MO.classical_,CCL3L1,0.456250907,0.576,CCR5,NOT_pDC_
ACT_MO.classical_,CCL3L1,0.112098437,0.576,CCR5,NOT_T4.EM_
ACT_MO.classical_,CCL3L1,0.334882081,0.576,CCR5,NOT_T8.CM_
ACT_MO.classical_,CCL3L1,0.558545455,0.576,CCR5,NOT_T8.EM_
ACT_MO.classical_,CCL3L1,0.355203689,0.576,CCR5,NOT_T8.EMRA_
ACT_NK.bright_,CCR7,0,0.812,CCL19,ACT_pDC_
ACT_NK.dim_,CCL3L1,0.135371907,0.576,CCR5,NOT_mDC_
ACT_NK.dim_,CCL3L1,0.175991268,0.576,CCR5,NOT_MO.classical_
ACT_NK.dim_,CCL3L1,0.134608707,0.576,CCR5,NOT_MO.intermediate_
ACT_NK.dim_,CCL3L1,0.050758481,0.576,CCR5,NOT_mTregs_
ACT_NK.dim_,CCL3L1,0.14625327,0.576,CCR5,NOT_pDC_
ACT_NK.dim_,CCL3L1,0.035933656,0.576,CCR5,NOT_T4.EM_
ACT_NK.dim_,CCL3L1,0.10734795,0.576,CCR5,NOT_T8.CM_
ACT_NK.dim_,CCL3L1,0.179044245,0.576,CCR5,NOT_T8.EM_
ACT_NK.dim_,CCL3L1,0.113862132,0.576,CCR5,NOT_T8.EMRA_
ACT_NK.dim_,CCR7,0,0.812,CCL19,ACT_pDC_
ACT_pDC_,CCL19,0,0.812,CCR7,ACT_pDC_
ACT_pDC_,CCL19,0,0.812,CCR7,ACT_T8.CM_
ACT_pDC_,CCL19,0,0.812,CCR7,ACT_T8.EM_
ACT_pDC_,CCL19,0,0.812,CCR7,ACT_T8.naive_
ACT_pDC_,CCL19,0,0.812,CCR7,NOT_B.memory_
ACT_pDC_,CCL19,0,0.812,CCR7,NOT_Neutrophil_
ACT_pDC_,CCL19,0,0.812,CCR7,NOT_NK.bright_
ACT_pDC_,CCL19,0,0.812,CCR7,NOT_nTregs_
ACT_pDC_,CCL19,0,0.812,CCR7,NOT_pDC_
ACT_pDC_,CCL19,0,0.812,CCR7,NOT_T4.CM_
ACT_pDC_,CCL19,0,0.812,CCR7,NOT_T4.EM_
ACT_pDC_,CCL19,0,0.812,CCR7,NOT_T4.naive_
ACT_pDC_,CCL19,0,0.812,CCR7,NOT_T8.CM_
ACT_pDC_,CCL19,0,0.812,CCR7,NOT_T8.naive_
ACT_pDC_,CCL19,0,0.812,CCR7,NOT_Th1_
ACT_pDC_,CCL19,0,0.812,CCR7,NOT_Th2_
ACT_T4.CM_,CCL3L1,0.027249155,0.576,CCR5,NOT_mDC_
ACT_T4.CM_,CCL3L1,0.035425469,0.576,CCR5,NOT_MO.classical_
ACT_T4.CM_,CCL3L1,0.02709553,0.576,CCR5,NOT_MO.intermediate_
ACT_T4.CM_,CCL3L1,0.010217229,0.576,CCR5,NOT_mTregs_
ACT_T4.CM_,CCL3L1,0.029439476,0.576,CCR5,NOT_pDC_
ACT_T4.CM_,CCL3L1,0.007233124,0.576,CCR5,NOT_T4.EM_
ACT_T4.CM_,CCL3L1,0.021608183,0.576,CCR5,NOT_T8.CM_
ACT_T4.CM_,CCL3L1,0.036040007,0.576,CCR5,NOT_T8.EM_
ACT_T4.CM_,CCL3L1,0.02291943,0.576,CCR5,NOT_T8.EMRA_
ACT_T4.EM_,CCL3L1,0.027180455,0.576,CCR5,NOT_mDC_
ACT_T4.EM_,CCL3L1,0.035336155,0.576,CCR5,NOT_MO.classical_
ACT_T4.EM_,CCL3L1,0.027027217,0.576,CCR5,NOT_MO.intermediate_
ACT_T4.EM_,CCL3L1,0.010191469,0.576,CCR5,NOT_mTregs_
ACT_T4.EM_,CCL3L1,0.029365253,0.576,CCR5,NOT_pDC_
ACT_T4.EM_,CCL3L1,0.007214888,0.576,CCR5,NOT_T4.EM_
ACT_T4.EM_,CCL3L1,0.021553704,0.576,CCR5,NOT_T8.CM_
ACT_T4.EM_,CCL3L1,0.035949142,0.576,CCR5,NOT_T8.EM_
ACT_T4.EM_,CCL3L1,0.022861645,0.576,CCR5,NOT_T8.EMRA_
ACT_T4.naive_,CCL3L1,0.027674086,0.576,CCR5,NOT_mDC_
ACT_T4.naive_,CCL3L1,0.035977904,0.576,CCR5,NOT_MO.classical_
ACT_T4.naive_,CCL3L1,0.027518065,0.576,CCR5,NOT_MO.intermediate_
ACT_T4.naive_,CCL3L1,0.010376559,0.576,CCR5,NOT_mTregs_
ACT_T4.naive_,CCL3L1,0.029898564,0.576,CCR5,NOT_pDC_
ACT_T4.naive_,CCL3L1,0.007345919,0.576,CCR5,NOT_T4.EM_
ACT_T4.naive_,CCL3L1,0.021945147,0.576,CCR5,NOT_T8.CM_
ACT_T4.naive_,CCL3L1,0.036602025,0.576,CCR5,NOT_T8.EM_
ACT_T4.naive_,CCL3L1,0.023276842,0.576,CCR5,NOT_T8.EMRA_
NOT_mDC_,CCR5,0.082676808,0.576,CCL3L1,NOT_MO.intermediate_
NOT_MO.classical_,CCR5,0.107484607,0.576,CCL3L1,NOT_MO.intermediate_
NOT_MO.intermediate_,CCL3L1,0.082210693,0.576,CCR5,NOT_MO.intermediate_
NOT_MO.intermediate_,CCL3L1,0.031000148,0.576,CCR5,NOT_mTregs_
NOT_MO.intermediate_,CCL3L1,0.08932247,0.576,CCR5,NOT_pDC_
NOT_MO.intermediate_,CCL3L1,0.02194606,0.576,CCR5,NOT_T4.EM_
NOT_MO.intermediate_,CCL3L1,0.0655615,0.576,CCR5,NOT_T8.CM_
NOT_MO.intermediate_,CCL3L1,0.10934918,0.576,CCR5,NOT_T8.EM_
NOT_MO.intermediate_,CCL3L1,0.06953996,0.576,CCR5,NOT_T8.EMRA_
ACT_B.memory_,CCL22,0.5673107,0.576,CCL19,ACT_mDC_
ACT_B.memory_,CCL22,0,0.576,CCL19,ACT_pDC_
ACT_mDC_,CCL22,0.576,0.576,CCL19,ACT_mDC_
ACT_mDC_,CCL22,0,0.576,CCL19,ACT_pDC_
ACT_mDC_,CCL19,0.575,0.575,CCR10,NOT_mTregs_
ACT_mDC_,CCL19,0.01341673,0.575,CCR10,NOT_T4.CM_
ACT_mDC_,CCL19,0.42579465,0.575,CCR10,NOT_T4.EM_
ACT_mDC_,CCL19,0.02618251,0.575,CCR10,NOT_T4.EMRA_
ACT_mDC_,CCL19,0.10732482,0.575,CCR10,NOT_T8.CM_
ACT_mDC_,CCL19,0.44138163,0.575,CCR10,NOT_Th17_
ACT_mDC_,CCL19,0.33679,0.575,CCR10,NOT_Th2_
ACT_pDC_,CCL19,0,0.575,CCR10,NOT_mTregs_
ACT_pDC_,CCL19,0,0.575,CCR10,NOT_T4.CM_
ACT_pDC_,CCL19,0,0.575,CCR10,NOT_T4.EM_
ACT_pDC_,CCL19,0,0.575,CCR10,NOT_T4.EMRA_
ACT_pDC_,CCL19,0,0.575,CCR10,NOT_T8.CM_
ACT_pDC_,CCL19,0,0.575,CCR10,NOT_Th17_
ACT_pDC_,CCL19,0,0.575,CCR10,NOT_Th2_
ACT_B.memory_,IDE,0.55578197,0.955,CCL4L1;CCL4,ACT_MO.classical_
ACT_B.naive_,IDE,0.55453693,0.955,CCL4L1;CCL4,ACT_MO.classical_
ACT_mDC_,IDE,0.16336571,0.955,CCL4L1;CCL4,ACT_MO.classical_
ACT_MO.classical_,CCL4L1;CCL4,0.05337188,0.955,IDE,ACT_MO.classical_
ACT_MO.classical_,CCL4L1;CCL4,0.05284785,0.955,IDE,ACT_mTregs_
ACT_MO.classical_,CCL4L1;CCL4,0.10793863,0.955,IDE,ACT_NK.bright_
ACT_MO.classical_,CCL4L1;CCL4,0.16505449,0.955,IDE,ACT_NK.dim_
ACT_MO.classical_,CCL4L1;CCL4,0.44704048,0.955,IDE,ACT_nTregs_
ACT_MO.classical_,CCL4L1;CCL4,0.10763083,0.955,IDE,ACT_pDC_
ACT_MO.classical_,CCL4L1;CCL4,0.89687397,0.955,IDE,ACT_T4.CM_
ACT_MO.classical_,CCL4L1;CCL4,0.955,0.955,IDE,ACT_T4.EM_
ACT_MO.classical_,CCL4L1;CCL4,0.66734926,0.955,IDE,ACT_T4.EMRA_
ACT_MO.classical_,CCL4L1;CCL4,0.66983853,0.955,IDE,ACT_T4.naive_
ACT_MO.classical_,CCL4L1;CCL4,0.72428772,0.955,IDE,ACT_T8.CM_
ACT_MO.classical_,CCL4L1;CCL4,0.61266223,0.955,IDE,ACT_T8.EM_
ACT_MO.classical_,CCL4L1;CCL4,0.1080691,0.955,IDE,ACT_T8.EMRA_
ACT_MO.classical_,CCL4L1;CCL4,0.16574431,0.955,IDE,ACT_T8.naive_
ACT_MO.classical_,CCL4L1;CCL4,0.05294288,0.955,IDE,NOT_Basophil_
ACT_MO.classical_,CCL4L1;CCL4,0.10552436,0.955,IDE,NOT_B.memory_
ACT_MO.classical_,CCL4L1;CCL4,0.05171914,0.955,IDE,NOT_B.naive_
ACT_MO.classical_,CCL4L1;CCL4,0.16467712,0.955,IDE,NOT_B.plasma_
ACT_MO.classical_,CCL4L1;CCL4,0,0.955,IDE,NOT_Eosinophil_
ACT_MO.classical_,CCL4L1;CCL4,0.1634659,0.955,IDE,NOT_mDC_
ACT_MO.classical_,CCL4L1;CCL4,0.66058546,0.901,CCR5,NOT_mDC_
ACT_MO.classical_,CCL4L1;CCL4,0.16543476,0.955,IDE,NOT_MO.classical_
ACT_MO.classical_,CCL4L1;CCL4,0.8587991,0.901,CCR5,NOT_MO.classical_
ACT_MO.classical_,CCL4L1;CCL4,0.16426228,0.955,IDE,NOT_MO.intermediate_
ACT_MO.classical_,CCL4L1;CCL4,0.65686121,0.901,CCR5,NOT_MO.intermediate_
ACT_MO.classical_,CCL4L1;CCL4,0.16473274,0.955,IDE,NOT_MO.nonclassical_
ACT_MO.classical_,CCL4L1;CCL4,0.16349726,0.955,IDE,NOT_mTregs_
ACT_MO.classical_,CCL4L1;CCL4,0.24769035,0.901,CCR5,NOT_mTregs_
ACT_MO.classical_,CCL4L1;CCL4,0,0.955,IDE,NOT_Neutrophil_
ACT_MO.classical_,CCL4L1;CCL4,0.10562345,0.955,IDE,NOT_NK.bright_
ACT_MO.classical_,CCL4L1;CCL4,0.0524706,0.955,IDE,NOT_NK.dim_
ACT_MO.classical_,CCL4L1;CCL4,0.10564792,0.955,IDE,NOT_nTregs_
ACT_MO.classical_,CCL4L1;CCL4,0.22049375,0.955,IDE,NOT_pDC_
ACT_MO.classical_,CCL4L1;CCL4,0.71368414,0.901,CCR5,NOT_pDC_
ACT_MO.classical_,CCL4L1;CCL4,0.1623062,0.955,IDE,NOT_T4.CM_
ACT_MO.classical_,CCL4L1;CCL4,0.16246423,0.955,IDE,NOT_T4.EM_
ACT_MO.classical_,CCL4L1;CCL4,0.17534842,0.901,CCR5,NOT_T4.EM_
ACT_MO.classical_,CCL4L1;CCL4,0.05285455,0.955,IDE,NOT_T4.EMRA_
ACT_MO.classical_,CCL4L1;CCL4,0.10610506,0.955,IDE,NOT_T4.naive_
ACT_MO.classical_,CCL4L1;CCL4,0.10655193,0.955,IDE,NOT_T8.CM_
ACT_MO.classical_,CCL4L1;CCL4,0.52383464,0.901,CCR5,NOT_T8.CM_
ACT_MO.classical_,CCL4L1;CCL4,0.10747671,0.955,IDE,NOT_T8.EM_
ACT_MO.classical_,CCL4L1;CCL4,0.87369697,0.901,CCR5,NOT_T8.EM_
ACT_MO.classical_,CCL4L1;CCL4,0.10684611,0.955,IDE,NOT_T8.EMRA_
ACT_MO.classical_,CCL4L1;CCL4,0.55562244,0.901,CCR5,NOT_T8.EMRA_
ACT_MO.classical_,CCL4L1;CCL4,0.10551901,0.955,IDE,NOT_T8.naive_
ACT_MO.classical_,CCL4L1;CCL4,0.10858664,0.955,IDE,NOT_Th1_
ACT_MO.classical_,CCL4L1;CCL4,0.16218012,0.955,IDE,NOT_Th17_
ACT_MO.classical_,CCL4L1;CCL4,0.10733768,0.955,IDE,NOT_Th2_
ACT_B.memory_,CCL3,0,0.576,CCL4L1;CCL4,ACT_MO.classical_
ACT_B.memory_,CCL3,0,0.807,CCR1,ACT_NK.bright_
ACT_B.memory_,CCL3,0,0.807,CCR1,ACT_NK.dim_
ACT_B.memory_,CCL3,0,0.807,CCR1,NOT_Basophil_
ACT_B.memory_,CCL3,0,0.807,CCR1,NOT_MO.classical_
ACT_B.memory_,CCL3,0,0.807,CCR1,NOT_MO.intermediate_
ACT_B.memory_,CCL3,0,0.807,CCR1,NOT_MO.nonclassical_
ACT_B.memory_,CCL3,0,0.807,CCR1,NOT_NK.bright_
ACT_B.memory_,CCL3,0,0.807,CCR1,NOT_pDC_
ACT_B.memory_,CCL3,0,0.807,CCR1,NOT_T8.EM_
ACT_mDC_,CCL3,0.42319229,0.576,CCL4L1;CCL4,ACT_MO.classical_
ACT_mDC_,CCL3,0.4294745,0.807,CCR1,ACT_NK.bright_
ACT_mDC_,CCL3,0.11827896,0.807,CCR1,ACT_NK.dim_
ACT_mDC_,CCL3,0.47684842,0.807,CCR1,NOT_Basophil_
ACT_mDC_,CCL3,0.59291004,0.807,CCR1,NOT_MO.classical_
ACT_mDC_,CCL3,0.48168991,0.807,CCR1,NOT_MO.intermediate_
