CellType,Gene.names,rank,experiment.score,Gene.names_2,CellType_2
ACT_B.memory_,CCL3,0,0.955,IDE,ACT_B.memory_
ACT_B.memory_,CCL3,0,0.955,IDE,ACT_B.naive_
ACT_B.memory_,CCL3,0,0.955,IDE,ACT_mDC_
ACT_B.memory_,CCL3,0,0.955,IDE,ACT_MO.classical_
ACT_B.memory_,CCL3,0,0.955,IDE,ACT_mTregs_
ACT_B.memory_,CCL3,0,0.955,IDE,ACT_NK.bright_
ACT_B.memory_,CCL3,0,0.955,IDE,ACT_NK.dim_
ACT_B.memory_,CCL3,0,0.955,IDE,ACT_nTregs_
ACT_B.memory_,CCL3,0,0.955,IDE,ACT_pDC_
ACT_B.memory_,CCL3,0,0.955,IDE,ACT_T4.CM_
ACT_B.memory_,CCL3,0,0.955,IDE,ACT_T4.EM_
ACT_B.memory_,CCL3,0,0.955,IDE,ACT_T4.EMRA_
ACT_B.memory_,CCL3,0,0.955,IDE,ACT_T4.naive_
ACT_B.memory_,CCL3,0,0.955,IDE,ACT_T8.CM_
ACT_B.memory_,CCL3,0,0.955,IDE,ACT_T8.EM_
ACT_B.memory_,CCL3,0,0.955,IDE,ACT_T8.EMRA_
ACT_B.memory_,CCL3,0,0.955,IDE,ACT_T8.naive_
ACT_B.memory_,CCL3,0,0.955,IDE,NOT_Basophil_
ACT_B.memory_,CCL3,0,0.955,IDE,NOT_B.memory_
ACT_B.memory_,CCL3,0,0.955,IDE,NOT_B.naive_
ACT_B.memory_,CCL3,0,0.955,IDE,NOT_B.plasma_
ACT_B.memory_,CCL3,0,0.955,IDE,NOT_Eosinophil_
ACT_B.memory_,CCL3,0,0.955,IDE,NOT_mDC_
ACT_B.memory_,CCL3,0,0.955,IDE,NOT_MO.classical_
ACT_B.memory_,CCL3,0,0.955,IDE,NOT_MO.intermediate_
ACT_B.memory_,CCL3,0,0.955,IDE,NOT_MO.nonclassical_
ACT_B.memory_,CCL3,0,0.955,IDE,NOT_mTregs_
ACT_B.memory_,CCL3,0,0.955,IDE,NOT_Neutrophil_
ACT_B.memory_,CCL3,0,0.955,IDE,NOT_NK.bright_
ACT_B.memory_,CCL3,0,0.955,IDE,NOT_NK.dim_
ACT_B.memory_,CCL3,0,0.955,IDE,NOT_nTregs_
ACT_B.memory_,CCL3,0,0.955,IDE,NOT_pDC_
ACT_B.memory_,CCL3,0,0.955,IDE,NOT_T4.CM_
ACT_B.memory_,CCL3,0,0.955,IDE,NOT_T4.EM_
ACT_B.memory_,CCL3,0,0.955,IDE,NOT_T4.EMRA_
ACT_B.memory_,CCL3,0,0.955,IDE,NOT_T4.naive_
ACT_B.memory_,CCL3,0,0.955,IDE,NOT_T8.CM_
ACT_B.memory_,CCL3,0,0.955,IDE,NOT_T8.EM_
ACT_B.memory_,CCL3,0,0.955,IDE,NOT_T8.EMRA_
ACT_B.memory_,CCL3,0,0.955,IDE,NOT_T8.naive_
ACT_B.memory_,CCL3,0,0.955,IDE,NOT_Th1_
ACT_B.memory_,CCL3,0,0.955,IDE,NOT_Th17_
ACT_B.memory_,CCL3,0,0.955,IDE,NOT_Th2_
ACT_B.memory_,IDE,0.40833793,0.955,CCL3,ACT_mDC_
ACT_B.memory_,IDE,0.42739532,0.955,CCL3,ACT_MO.classical_
ACT_B.memory_,IDE,0.39864539,0.955,CCL3,ACT_NK.bright_
ACT_B.memory_,IDE,0.55578197,0.955,CCL3,ACT_NK.dim_
ACT_B.memory_,IDE,0.31393219,0.955,CCL3,ACT_pDC_
ACT_B.memory_,IDE,0.34614686,0.955,CCL3,ACT_T4.CM_
ACT_B.memory_,IDE,0.41966975,0.955,CCL3,ACT_T4.EM_
ACT_B.memory_,IDE,0.4267106,0.955,CCL3,ACT_T4.EMRA_
ACT_B.memory_,IDE,0.28791155,0.955,CCL3,ACT_T8.CM_
ACT_B.memory_,IDE,0.35317856,0.955,CCL3,ACT_T8.EM_
ACT_B.memory_,IDE,0.34679276,0.955,CCL3,ACT_T8.EMRA_
ACT_B.memory_,IDE,0,0.955,CCL3,NOT_Basophil_
ACT_B.memory_,IDE,0.29002022,0.955,CCL3,NOT_MO.classical_
ACT_B.naive_,IDE,0.40742318,0.955,CCL3,ACT_mDC_
ACT_B.naive_,IDE,0.42643789,0.955,CCL3,ACT_MO.classical_
ACT_B.naive_,IDE,0.39775236,0.955,CCL3,ACT_NK.bright_
