CellType,Gene.names,rank,experiment.score,Gene.names_2,CellType_2
ACT_NK.bright_,CCL1,0.40853351,0.564,CCR1,ACT_NK.bright_
ACT_NK.bright_,CCL1,0.11251172,0.564,CCR1,ACT_NK.dim_
ACT_NK.bright_,CCL1,0.4535975,0.564,CCR1,NOT_Basophil_
ACT_NK.bright_,CCL1,0.564,0.564,CCR1,NOT_MO.classical_
ACT_NK.bright_,CCL1,0.45820292,0.564,CCR1,NOT_MO.intermediate_
ACT_NK.bright_,CCL1,0.06396478,0.564,CCR1,NOT_MO.nonclassical_
ACT_NK.bright_,CCL1,0.49603244,0.564,CCR1,NOT_NK.bright_
ACT_NK.bright_,CCL1,0.40789853,0.564,CCR1,NOT_pDC_
ACT_NK.bright_,CCL1,0.14928036,0.564,CCR1,NOT_T8.EM_
ACT_NK.bright_,CCR1,0.12004512,0.564,CCL1,ACT_NK.dim_
ACT_NK.dim_,CCL1,0.0330609,0.564,CCR1,ACT_NK.dim_
ACT_NK.dim_,CCL1,0.13328691,0.564,CCR1,NOT_Basophil_
ACT_NK.dim_,CCL1,0.16572802,0.564,CCR1,NOT_MO.classical_
ACT_NK.dim_,CCL1,0.13464018,0.564,CCR1,NOT_MO.intermediate_
ACT_NK.dim_,CCL1,0.01879567,0.564,CCR1,NOT_MO.nonclassical_
ACT_NK.dim_,CCL1,0.14575616,0.564,CCR1,NOT_NK.bright_
ACT_NK.dim_,CCL1,0.11985854,0.564,CCR1,NOT_pDC_
ACT_NK.dim_,CCL1,0.04386514,0.564,CCR1,NOT_T8.EM_
ACT_B.memory_,CCL22,0,0.898,DPP4,ACT_B.memory_
ACT_B.memory_,CCL22,0.08290658,0.898,DPP4,ACT_B.naive_
ACT_B.memory_,CCL22,0.5673107,0.576,CCL19,ACT_mDC_
ACT_B.memory_,CCL22,0.22869768,0.898,DPP4,ACT_mDC_
ACT_B.memory_,CCL22,0.16461179,0.898,DPP4,ACT_mTregs_
ACT_B.memory_,CCL22,0.59304087,0.898,DPP4,ACT_NK.bright_
ACT_B.memory_,CCL22,0.73845403,0.898,DPP4,ACT_NK.dim_
ACT_B.memory_,CCL22,0.58295457,0.898,DPP4,ACT_nTregs_
ACT_B.memory_,CCL22,0,0.576,CCL19,ACT_pDC_
ACT_B.memory_,CCL22,0.0518332,0.898,DPP4,ACT_pDC_
ACT_B.memory_,CCL22,0.59085166,0.898,DPP4,ACT_T4.CM_
ACT_B.memory_,CCL22,0.57690546,0.898,DPP4,ACT_T4.EM_
ACT_B.memory_,CCL22,0.58181303,0.898,DPP4,ACT_T4.EMRA_
ACT_B.memory_,CCL22,0.47693462,0.898,DPP4,ACT_T4.naive_
ACT_B.memory_,CCL22,0.2872192,0.898,DPP4,ACT_T8.CM_
ACT_B.memory_,CCL22,0.55645447,0.898,DPP4,ACT_T8.EM_
ACT_B.memory_,CCL22,0.10576901,0.898,DPP4,ACT_T8.EMRA_
ACT_B.memory_,CCL22,0.5447717,0.898,DPP4,ACT_T8.naive_
ACT_B.memory_,CCL22,0.86414941,0.898,DPP4,NOT_Basophil_
ACT_B.memory_,CCL22,0,0.898,DPP4,NOT_B.memory_
ACT_B.memory_,CCL22,0,0.898,DPP4,NOT_B.naive_
ACT_B.memory_,CCL22,0.16148086,0.898,DPP4,NOT_B.plasma_
ACT_B.memory_,CCL22,0.08034624,0.898,DPP4,NOT_Eosinophil_
ACT_B.memory_,CCL22,0,0.898,DPP4,NOT_mDC_
ACT_B.memory_,CCL22,0,0.898,DPP4,NOT_MO.intermediate_
ACT_B.memory_,CCL22,0,0.898,DPP4,NOT_MO.nonclassical_
ACT_B.memory_,CCL22,0.29792967,0.898,DPP4,NOT_mTregs_
ACT_B.memory_,CCL22,0.16249464,0.898,DPP4,NOT_Neutrophil_
ACT_B.memory_,CCL22,0.47072723,0.898,DPP4,NOT_NK.bright_
ACT_B.memory_,CCL22,0.6192226,0.898,DPP4,NOT_nTregs_
ACT_B.memory_,CCL22,0.0262104,0.898,DPP4,NOT_pDC_
ACT_B.memory_,CCL22,0.62476856,0.898,DPP4,NOT_T4.CM_
ACT_B.memory_,CCL22,0.6028875,0.898,DPP4,NOT_T4.EM_
ACT_B.memory_,CCL22,0.5480444,0.898,DPP4,NOT_T4.EMRA_
ACT_B.memory_,CCL22,0.62211829,0.898,DPP4,NOT_T4.naive_
ACT_B.memory_,CCL22,0.59441689,0.898,DPP4,NOT_T8.CM_
ACT_B.memory_,CCL22,0.78618057,0.898,DPP4,NOT_T8.EM_
ACT_B.memory_,CCL22,0,0.898,DPP4,NOT_T8.EMRA_
ACT_B.memory_,CCL22,0.51417079,0.898,DPP4,NOT_T8.naive_
ACT_B.memory_,CCL22,0.77870787,0.898,DPP4,NOT_Th1_
ACT_B.memory_,CCL22,0.62021888,0.898,DPP4,NOT_Th17_
ACT_B.memory_,CCL22,0.50960789,0.898,DPP4,NOT_Th2_
ACT_B.memory_,DPP4,0,0.898,CCL22,ACT_mDC_
ACT_B.naive_,DPP4,0.08417643,0.898,CCL22,ACT_mDC_
ACT_mDC_,CCL22,0.576,0.576,CCL19,ACT_mDC_
ACT_mDC_,CCL22,0.23220056,0.898,DPP4,ACT_mDC_
ACT_mDC_,CCL22,0.16713309,0.898,DPP4,ACT_mTregs_
ACT_mDC_,CCL22,0.60212427,0.898,DPP4,ACT_NK.bright_
ACT_mDC_,CCL22,0.74976468,0.898,DPP4,ACT_NK.dim_
ACT_mDC_,CCL22,0.59188348,0.898,DPP4,ACT_nTregs_
ACT_mDC_,CCL22,0,0.576,CCL19,ACT_pDC_
ACT_mDC_,CCL22,0.05262711,0.898,DPP4,ACT_pDC_
ACT_mDC_,CCL22,0.59990153,0.898,DPP4,ACT_T4.CM_
ACT_mDC_,CCL22,0.58574172,0.898,DPP4,ACT_T4.EM_
ACT_mDC_,CCL22,0.59072446,0.898,DPP4,ACT_T4.EMRA_
ACT_mDC_,CCL22,0.48423966,0.898,DPP4,ACT_T4.naive_
ACT_mDC_,CCL22,0.29161844,0.898,DPP4,ACT_T8.CM_
ACT_mDC_,CCL22,0.56497749,0.898,DPP4,ACT_T8.EM_
ACT_mDC_,CCL22,0.10738903,0.898,DPP4,ACT_T8.EMRA_
ACT_mDC_,CCL22,0.55311578,0.898,DPP4,ACT_T8.naive_
ACT_mDC_,CCL22,0.87738529,0.898,DPP4,NOT_Basophil_
ACT_mDC_,CCL22,0,0.898,DPP4,NOT_B.memory_
ACT_mDC_,CCL22,0,0.898,DPP4,NOT_B.naive_
ACT_mDC_,CCL22,0.16395421,0.898,DPP4,NOT_B.plasma_
ACT_mDC_,CCL22,0.08157687,0.898,DPP4,NOT_Eosinophil_
ACT_mDC_,CCL22,0,0.898,DPP4,NOT_mDC_
ACT_mDC_,CCL22,0,0.898,DPP4,NOT_MO.intermediate_
ACT_mDC_,CCL22,0,0.898,DPP4,NOT_MO.nonclassical_
ACT_mDC_,CCL22,0.30249296,0.898,DPP4,NOT_mTregs_
ACT_mDC_,CCL22,0.16498351,0.898,DPP4,NOT_Neutrophil_
ACT_mDC_,CCL22,0.47793719,0.898,DPP4,NOT_NK.bright_
ACT_mDC_,CCL22,0.62870702,0.898,DPP4,NOT_nTregs_
ACT_mDC_,CCL22,0.02661185,0.898,DPP4,NOT_pDC_
ACT_mDC_,CCL22,0.63433792,0.898,DPP4,NOT_T4.CM_
ACT_mDC_,CCL22,0.61212172,0.898,DPP4,NOT_T4.EM_
ACT_mDC_,CCL22,0.55643861,0.898,DPP4,NOT_T4.EMRA_
